Konsulentrolle,Rollekategori,Kompetansekrav,Erfaringskrav,Konsulentegenskaper,Kundenavn,Bransje,Årstall
Prosjektleder for Engagement Platform,Prosjektledelse,,,,Santander,Bank og forsikring,2019
Evaluering av presentasjon om endringsledelse for LOs digitaliseringsprogram,Endringsledelse,,,,LO,Bank og forsikring,2024
Prosjektledelse for fase 2,Prosjektledelse,Bred kompetanse innen prosjektledelse og strategisk IKT sourcing.,Erfaring med komplekse anskaffelser og endringsprosesser.,Evne til å tilrettelegge for effektiv bruk av kundens egen kompetanse.,Gassco AS,Handel og industri,2023
Forhandlingsleder,Prosessledelse og fasilitering,Erfaring innen kontraktsstrategier og gjennomføring av forhandlinger.,Lang erfaring med strategiske forhandlinger innen IKT.,,Gassco AS,Handel og industri,2023
Ekspert bistand / kvalitetssikring i utarbeidelse og gjennomføring av anskaffelser,Offentlig kvalitetssikring,Ekspertise i kvalitetssikring av anskaffelsesprosesser.,Erfaring med store og komplekse anskaffelsesprosesser.,,Gassco AS,Handel og industri,2023
Utarbeidelse av kravspesifisering/dokumentasjon av konkurransegrunnlag / PMO,Rådgivning teknisk,Kompetanse i kravspesifisering og dokumentasjon av konkurransegrunnlag.,"Erfaring med IKT Drift, nettverk, sikkerhet, utvikling.",,Gassco AS,Handel og industri,2023
Erfaren prosjektleder,Prosjektledelse,,,,Sparebank 1 Utvikling,Bank og forsikring,ukjent
Sjefsarkitekt Finansieringsområdet,Løsningsarkitektur,,,,Sparebank 1 Utvikling,Bank og forsikring,ukjent
Prosjektleder for nytt forsikringsprodukt og SAF-T prosjekt,Prosjektledelse,"Erfaring med tekniske prosjekter, IT-kunnskap, Prince2-sertifisering en fordel","Erfaring med å lede og jobbe i smidige prosjekter, erfaring fra lignende prosjekter i bank/forsikring, erfaring fra utvikling av forsikringsprodukter eller rapporteringsløsninger","Kommunikasjonsevner, motiverende, strukturell, nysgjerrig, evne til å lede og navigere i komplekse miljøer, resultatorientert",Fremtind Forsikring AS,Bank og forsikring,2023
"Produkteier Kapitalberegning, Dataplattform, Alliansedatavarehuset",Produkt- og tjenesteansvar,,,,Sparebank 1 Utvikling,Bank og forsikring,2022
Prosjektleder Leverandørstyring,Prosjektledelse,"Seniorressurs med lang erfaring som prosjektleder, gjerne innen sourcing og innkjøp. Erfaring med organisasjons- og endringsprosjekter i komplekse organisasjoner, og gjerne erfaring fra SpareBank 1-alliansen.","Lang erfaring som prosjektleder, erfaring med organisasjons- og endringsprosjekter i komplekse organisasjoner, erfaring innen sourcing og innkjøp.","Gode analytiske ferdigheter, evne til å forstå komplekse problemstillinger, pådriver for fremdrift, evne til å kartlegge nåsituasjon i komplekst terreng med mange involverte og interessenter.",Sparebank 1 Utvikling,Bank og forsikring,2022
Prosjektleder til Eiendomsavdelingen,Prosjektledelse,,,,Sparebank1 Forsikring,Bank og forsikring,ukjent
Prosjektleder for prosjekt Fremtidens saksbehandling,Prosjektledelse,,,,Sparebank1 Forsikring,Bank og forsikring,2023
Tjenesteansvarlig SaaS vikar konsulent,Produkt- og tjenesteansvar,,,,Fremtind Forsikring AS,Bank og forsikring,ukjent
Prosessleder,Prosessledelse og fasilitering,20+ års erfaring med prosessledelse. Sertifisert endringsleder (CCMP) og prosjektleder (PMP).,Mer enn 20 års erfaring med prosessledelse,,NVE,Offentlig og stat,2023
Tjenestedesigner,Produkt- og tjenesteansvar,20 års erfaring med tjenestedesign,20 års års erfaring som tjenestedesigner. Kjenner NVE prosesser fra EK utredningsprosjekt for bedre digital støtte og økt effektivitet i konsesjonsprosessene.,,NVE,Offentlig og stat,2023
Kvalitetssikrer for Fremtidens tollbehandling,Offentlig kvalitetssikring,Bred kompetanse fra kvalitetssikring og rådgivning knyttet til gjennomføring av omfattende og komplekse digitaliseringsprogram og prosjekter i offentlig sektor og statlige virksomheter.,"Over 30 års relevant erfaring, inkludert erfaring fra KS1 og KS2 kvalitetssikringsoppdrag og omfattende erfaring fra planlegging, ledelse, styring, gjennomføring og organisering av utredninger og program-/prosjekt- og team i komplekse utviklingsprosesser.","God innsikt i hva digital transformasjon innebærer for virksomheten, brukerne og samfunnet.",Tolldirektoratet,Offentlig og stat,2024
Prosesslederstøtte for fjernarbeid,Prosessledelse og fasilitering,Kompetanse til å planlegge opplegg for ledere med ulike arbeidsformer,Erfaring med å støtte innføring og praktisk håndtering av fjernarbeid,"Strukturert, evne til å gi støtte og læring til ledere og staber",Lånekassen,Offentlig og stat,2021
Prosjektleder,Prosjektledelse,"Kompetanse innenfor modeller for IT drift, utviklingsformer, teknologianskaffelser og SSA-avtaler.","Erfaring med gjennomføring av viktige og komplekse teknologianskaffelser for samfunnskritiske virksomheter, herunder offentlige anskaffelser.",,Gassco AS,Handel og industri,2022
Forhandlingsleder,Prosessledelse og fasilitering,"Kompetanse på anskaffelsesmetode, evalueringsmetode, merkantil metode, og bruk av alle statens standardavtaler.","Erfaring med forhandlinger, evaluering av tilbud og bruk av konkurranseformer som konkurranse med forhandling og konkurransepreget dialog.",,Gassco AS,Handel og industri,2022
Ekspert bistand / kvalitetssikring,Offentlig kvalitetssikring,"Ekspertise innen kontrakt (inkl. databehandleravtale), sikkerhet og personvern (GDPR), teknologi/skyløsning.","Lang erfaring med offentlige anskaffelser, strategiske vurderinger og planlegging.",,Gassco AS,Handel og industri,2022
Virksomhetsarkitekt,Virksomhetsarkitektur,"Skal ha erfaring med utvikling og modellering av arkitekturer iht. TOGAF 9.x: Business-, Data and Information-, Application- og Technology architecture. Skal ha erfaring med etablering av forskjellige arkitekturer (as-is, transition, to-be). Skal ha erfaring fra etablering av prosesser for forvaltning av arkitekturer. Skal ha erfaring fra bruk av standardiserte metoder for fremtakelse av arkitekturer. Skal ha erfaring med modellering iht. Archimate 3.1 i et arkitekturmodelleringsverktøy.",Seniorarkitekt: Minst 5 års erfaring. Juniorarkitekt: Relevant utdanning og erfaring.,"For seniorarkitekter: Skal ha erfaring med sikkerhetsarkitektur, tilpasset kommunikasjon av arkitektur(er) til ulike interessenter, opplæring innenfor fagfeltet virksomhetsarkitektur, generering av rapporter fra modelleringsverktøy.",Forsvaret,Offentlig og stat,2024
Seniorarkitekt,Virksomhetsarkitektur,"Relevant utdanning på masternivå eller mer enn 10 års erfaring. Erfaring med utvikling og modellering av arkitekturer iht. TOGAF 9.x, etablering av as-is, transition, to-be arkitekturer, etablering av prosesser for forvaltning av arkitekturer, bruk av standardiserte metoder for arkitekturer, modellering iht. Archimate 3.1, erfaring med sikkerhetsarkitektur, tilpasset kommunikasjon av arkitektur, opplæring innenfor fagfeltet virksomhetsarkitektur, generering av rapporter fra modelleringsverktøy, sertifisering i TOGAF v9.x/10.x og Archimate 3.x.","Minimum 5 års erfaring innenfor kompetanseområdene, eller mer enn 10 års erfaring med bachelorutdanning.",,Forsvaret,Offentlig og stat,2024
Juniorarkitekt,Virksomhetsarkitektur,Relevant utdanning på minimum bachelornivå. Erfaring med modellering av arkitekturer iht. Archimate 3.1.,Kompetanse og erfaring innenfor relevante kompetanseområder.,,Forsvaret,Offentlig og stat,2024
Funksjonell arkitekt Fremtidens kjernesystem,Virksomhetsarkitektur,,,,SpareBank 1 Forsikring,Bank og forsikring,2020
Senior strategisk rådgiver,Rådgivning teknisk,"Relevant utdanning fra høyskole eller universitet på minimum bachelornivå. Dokumentert minimum 3 års erfaring fra prosjektarbeid. Dokumentert kompetanse og erfaring fra store, komplekse systemlandskap og informasjonsforvaltning i offentlig sektor.",Minimum 3 års erfaring fra prosjektarbeid. Erfaring med informasjonsforvaltning og semantisk interoperabilitet.,,Helsedirektoratet,Helse,2024
Konsulent grunndata (Master Data Management),Virksomhetsarkitektur,"Beherske SQL, XML, XSLT, Excel. Erfaring fra master data management. Kjennskap til kodeverk og registre i helsesektoren. Behersker Microsoft Office meget godt, spesielt Excel, Powerpoint og Sharepoint. Behersker engelsk og norsk svært godt, både skriftlig og muntlig. Kjennskap til Helseplattformen og dets informasjonsmodell vurderes som spesielt relevant erfaring.","Erfaring fra etablering og kvalitetssikring av løsninger, over 30 års erfaring innen IT, erfaring med Master Data Management ved hjelp av SQL Server og Master Data Services for helseplattformer, erfaring med komplekse datamigreringsløsninger.","Gode kommunikasjons- og samarbeidsevner. Evne til å jobbe i team med mange ulike profesjoner. Ryddig, strukturert og gode koordineringsegenskaper.",Helseplattformen AS,Helse,2024
Integrasjonsarkitekt,Løsningsarkitektur,"Minst 3 års erfaring som arkitekt i større integrasjonsteam. Erfaring med integrasjonsplattformer og implementasjon av integrasjoner, dataflyt, API-er og event-strømming. Relevante verktøy inkluderer Boomi, SoftwareAG Webmethods.io, IBM App Connect, Anypoint Base Platform. Kjennskap til transportbransjen er en fordel.",Erfaring med å jobbe som arkitekt i større integrasjonsteam i stor skala. Erfaring fra integrasjonsplattformer og løsningsarkitektur i komplekse domener. Relevant erfaring med bruk av Confluence og Ardoq.,"Selvstendig, strukturert, høy arbeidskapasitet, gode samarbeidsevner og evne til å kommunisere komplekse problemstillinger.",Flytoget AS,Transport,2023
IT Architect - Risk and Compliance,Løsningsarkitektur,"Proven experience as an IT architect in the financial services industry, APIs and Cloud, eComms market abuse surveillance, record keeping, voice transcription technologies.","Eirik has worked extensively as an IT architect for several financial institutions, has significant experience with cloud platforms, strong knowledge of relevant technologies, and excellent project management skills.","Ability to communicate effectively with stakeholders at all levels, experience in Financial Crime Fighting is a plus, fluency in English required.",Nordea,Bank og forsikring,2024
Business IT Developer - Legal and Compliance Functions,Rådgivning forretning,"Konsulenten må ha erfaring med digitalisering, integrering av forretnings- og IT-løsninger, samt juridiske og samsvarsfunksjoner.","Lang erfaring med IT-rådgivning, prosjektledelse, og erfaring innen digitaliseringsprosjekter.","Resultatorientert, team-player, ansvarlig, besluttsom, og med utmerkede kommunikasjonsevner.",Statkraft,Offentlig og stat,2024
IT Project Manager,Prosjektledelse,"Certified Scrum Master (CSM), certified Scrum product owner (CSPO), certified Project Management Professional (PMP), familiar with agile software management methods such as Scrum, Kanban and XP, experienced in waterfall development","More than 16 years of experience with project and programme management, more than 24 years of experience with IT projects, experience with governance of programmes, experience from highly regulated industries such as finance, healthcare and government, experience rolling out major software deliveries, experience with change management in large organisations","Fluent in English, understands Swedish at a professional level, experience in managing IT initiatives",Statkraft,Offentlig og stat,2024
Interimleder for IT-avdelingen,Midlertidig lederrolle,"Allsidig og relevant erfaring fra banksektoren, spesielt fra Consumer Finance.","Flere års erfaring fra Consumer Finance, erfaring med daglig ledelse og håndtering av driftsutfordringer.","Evne til strategisk styring og prioritering, evne til å sikre fremdrift og leveranser på tid.",Komplett Bank ASA,Bank og forsikring,2022
Prosjektleder for datavarehus,Prosjektledelse,Evne til å etablere og styre prosjekter for design og etablering av ny kjernedata tjeneste.,Erfaring fra ledelse av IT-organisasjoner og prosjektledelse innen banksektoren.,"Proaktiv tilnærming til ledelse, sterk problemløsningskompetanse.",Komplett Bank ASA,Bank og forsikring,2022
IT-løsnings- og integrasjonsarkitekt,Løsningsarkitektur,"Relevant og omfattende erfaring med IT-arkitektur og etablering av løsningsarkitektur for store og komplekse domener; erfaring med integrasjonsplattformer, samt implementasjon av dataflyt og API-er; erfaring med smidig utviklingsmetodikk.","Dokumentert erfaring med å omsette forretningsbehov til løsningsarkitektur; ønskelig med erfaring fra transportsektoren, som Entur og/eller Bane NORs API-er.",Gode kommunikasjonsevner på skandinavisk språk og engelsk; selvstendig; høy arbeidskapasitet; stor gjennomføringsevne og leveringspresisjon; veldig gode samarbeidsevner,Flytoget AS,Offentlig og stat,2022
Junior Consultant for IT Innovation,Lede agilt team,"Relevant higher education in business administration, communication, innovation, or entrepreneurship. Excellent verbal and written communication skills in English. Skilled in developing digital presentations and content for a diverse workforce.","Minimum of 2 years of experience in innovation, change management or communication. Experienced in facilitating and running workshops.","Structured, agile, and willing to get the work done. A collaborator with positive energy, thriving in a social environment, willingness to learn and with the capacity to manage a wide range of activities.",Statkraft,Offentlig og stat,2024
Støtte til analyse av kartleggingsresultater,Rådgivning teknisk,Innsikt og erfaring med DI2X-rammeverket og kartleggingsverktøyene.,"Bred erfaring fra offentlig sektor generelt og utdanningssektoren spesielt, samt strategisk virksomhetsutvikling.","Evne til å gjennomføre modenhetskartlegging, inkludert informasjon, veiledning, analyse og presentasjon av resultatene.",Utdanningsdirektoratet,Offentlig og stat,2025
Faglig sparring med arbeidsgruppa,Prosessledelse og fasilitering,Stor kompetanse innen digital transformasjon og organisasjonsutvikling.,Bred erfaring fra å fasilitere prosesser i ulike typer av virksomheter og kulturer.,"Kan bidra med faglig sparring, tips til tiltak og virkemidler og støtte ledergruppedynamikk.",Utdanningsdirektoratet,Offentlig og stat,2025
Gjennomgang av rammeverk for digital modenhet og kapabiliteter,Kurs og opplæring,Stor forståelse for digital transformasjon og DI2x-rammeverkene.,Erfaring med å tilrettelegge og gjennomføre opplæringsopplegg relatert til digital transformasjon.,"Evne til å skreddersy opplegg, samt tilpasse det til norsk offentlig sektor og utdanningssektoren.",Utdanningsdirektoratet,Offentlig og stat,2025
Sertifisering DI2X Facilitator for inntil 4 personer,Kurs og opplæring,Evne til å sertifisere i DI2X-rammeverket.,Erfaring med modenhetstrappen og de 16 organisatoriske kapabilitetene.,Kan legge til rette for en to dagers sertifiseringssamling og veiledning i pilotprosess.,Utdanningsdirektoratet,Offentlig og stat,2025
Kartlegging revisjon nasjonal skreddatabase (NSDB),Prosjektledelse,,,,NVE,Offentlig og stat,2023
Gjennomgang av drift Oslo allmennlegevakt,Rådgivning teknisk,Relevant erfaring med organisasjons- og digitaliseringsarbeid i helsesektoren,"Konsulenter med erfaring fra utredninger, analyser og evalueringer, spesielt i helsesektoren","Evne til å forstå årsaker til endringsreaksjoner, foreslå tiltak for å løse barrierer og lykkes med endringsprosesser",Oslo Kommune Helseetaten,Helse,2024
Vurdering av legevaktens driftsforutsetninger og organisering,Rådgivning teknisk,Kjennskap til aktuelle lov og avtaleverk innen helseområdet,Erfaring med gjennomføring og analyser av organisasjonsstruktur og digitalisering,Evne til god problemforståelse og å foreslå konkrete forbedringstiltak,Oslo Kommune Helseetaten,Helse,2024
Lederstøtte og rådgiver for DMF direktør,Endringsledelse,Familiær med utvelgelse og etablering av ledergrupper og ledergruppeutvikling. God kjennskap og praktisk kunnskap om rekruttering og styring av offentlig sektor er en fordel.,Relevant erfaring med tilsvarende oppdrag.,"Skal være en ekstern, uavhengig sparringspartner til administrerende direktør.",Direktoratet for mineralforvaltning,Kommuner,2023
IT-arkitekt,Virksomhetsarkitektur,"Relevant høyere utdannelse. Relevant og omfattende erfaring med virksomhetsarkitektur og etablering av IT-arkitektur. Gode kommunikasjonsevner, både på norsk og engelsk.","Relevant og omfattende erfaring med integrasjoner, dataflyt og API-er. Ønskelig med erfaring med IT-systemer brukt av transportsektoren, og erfaring med kundekommunikasjons-, service- og/eller betalingssystemer.",Selvstendig. Høy arbeidskapasitet. Stor gjennomføringsevne og leveringspresisjon. Veldig gode samarbeidsevner.,Flytoget AS,Offentlig og stat,2022
Konsulent IT-sourcing,Rådgivning teknisk,"Relevant høyere utdannelse. Erfaring med offentlig anskaffelser og forskjellige typer kontrakter som for eksempel Statens Standardavtaler. Relevant arbeidserfaring med IT-sourcingleveranser for IT-utvikling. Erfaring med leverandør- og kontraktsoppfølging i større og komplekse sourcingsprosjekter. Det er ønskelig med erfaring med IT-systemer brukt av transportsektoren. Det er ønskelig med erfaring med kundekommunikasjons-, service- og/eller betalingssystemer. Det er ønskelig med erfaring med Entur og/eller Bane NORs APIer/dataflyt. Gode kommunikasjonsevner, både på norsk og engelsk.",Selvstendig. Høy arbeidskapasitet. Stor gjennomføringsevne og leveringspresisjon. Veldig gode samarbeidsevner.,Selvstendig. Høy arbeidskapasitet. Stor gjennomføringsevne og leveringspresisjon. Veldig gode samarbeidsevner.,Flytoget AS,Offentlig og stat,2022
Konsulent IT-sourcing,Rådgivning teknisk,,,,Flytoget AS,Offentlig transport,2022
Konsulentbistand Sikker Dialog,Prosessledelse og fasilitering,"Erfaring med prosjekt- og prosessledelse, evne til å kombinere workshoptilnærming med agil prosjektmetode, sertifisert i Prince2, Endringsledelse (ProSci) og Lean Gult belte.","Bred erfaring med å jobbe med prosjekt- og prosessledelse, utarbeidelse og dokumentasjon av konkrete behov og krav, samt fasilitere workshops.","Gode leveranseevner, strukturert og nøye, team- og samarbeidsorientert, selvgående, positiv innstilling.",Statens pensjonskasse,Offentlig og stat,2021
Rådgiver/Prosjektleder,Rådgivning forretning,Skal leies inn som rådgiver og prosjektleder i digitaliseringsprogrammet.,"Profesjonell, effektiv og med høy faglig standard.",Skal kunne samarbeide lojalt med Kunden og ivareta Kundens interesser.,LO,Handel og industri,2021
Lede planprosessen for Utviklingsplan 2040,Prosjektledelse,"Koordinering, prosjektledelse, fasilitering, kommunikasjon","Erfaring med ledelse av prosjekter og planprosesser, evne til å forankre prosesser og sikre fremdrift","Dedikert, koordinerende, evne til å kommunisere godt",Oslo universitetssykehus HF,Helse,2022
Konsulent til Utviklingsplan 2040,Prosjektledelse,"Evne til å drive plan- og implementeringsprosesser, fasilitere workshops, sikre fremdrift, lede informasjonsinnhenting, ha regi på dokumentstruktur, utlede veikart og målbilder, foreslå kommunikasjonsform og budskap.",,Dedikert konsulent med koordinerendende evner,Oslo universitetssykehus HF,Helse,2022
Rådgiver,Rådgivning teknisk,"Utdanning på bachelor-/masternivå innen strategi, ledelse eller annet relevant fagområde","Minst fem års erfaring fra ledelse av omfattende planprosesser og strategiarbeid i større, offentlige virksomheter og fasilitering av større workshops","Svært gode muntlige og skriftlige kommunikasjonsevner, analytiske evner og evne til å strukturere, anvende og presentere informasjon på en hensiktsmessig måte",Oslo universitetssykehus HF,Helse,2022
HR-konsulent for gjennomgang av kjerneprosesser,Endringsledelse,"Senior HR faglig strategisk kompetanse innen arbeidsrett, leder- og medarbeiderutvikling, systematisk HR og HMS","Erfaring med utvikling, oppbygning og implementering av kjerneprosesser innen HR og organisasjon, samt rutiner og arbeidsmetoder","Evne til å sette seg raskt inn i nye problemstillinger, strukturert arbeidsform, fokusert og god på kommunikasjon",Norsk Kulturråd,Offentlig og stat,2021
Praktisk opplæring i prosjektledelse,Kurs og opplæring,"Kompetanse innen prosjektledelse, opplæring og gevinstrealisering","Erfaring med prosjektstyring, praksisnær teori, erfaringsoverføring, og bruk av prosjektstyringsmetoder","Engasjerende, gode samarbeids- og kommunikasjonsferdigheter",Vanylven kommune,Kommuner,2023
Mentoring for prosjektledere,Prosjektledelse,Kunnskap om prosjektstyringsverktøy og metoder,Erfaring med støtte til prosjektledere og praktisk gjennomføring av prosjekter,"Fleksibilitet, tilpasningsdyktighet, god forståelse av kommunal prosjektgjennomføring",Vanylven kommune,Kommuner,2023
Ekstern kvalitetssikring av forprosjekt,Offentlig kvalitetssikring,"Evne til å vurdere omfang, detaljering, og underlagsdokumentasjon, samt erfaring med kvalitetssikring av programstyringsdokumentasjon",Erfaring med kvalitetssikring av konseptvalgutredninger og forprosjekt for store statlige investeringsprosjekter,"Evne til å vurdere realisme, risiko, og usikkerhet i gjennomføringsstrategier",Finansdepartementet,Offentlig og stat,2021
Forenklet KS2 for program Felles IKT-tjenester,Offentlig kvalitetssikring,Vurdering av kontraktsstrategi og gevinstrealiseringsplan,Tidligere involvering i prosjekter med privat lukket skyløsning og IKT-organisasjoner,"Analytisk evne til å koble gevinster og kostnader, samt foreslå oppfølgingstiltak frem mot komplett forprosjektunderlag",Finansdepartementet,Offentlig og stat,2021
Ekstern kvalitetssikrer KS2 for flytting av Bodø lufthavn,Offentlig kvalitetssikring,"Kompetanse i kvalitetssikring av konseptvalgutredninger og forprosjekt for store statlige investeringsprosjekter, samt finansieringsplaner og risikovurdering.","Erfaring med store investeringsprosjekter og kjennskap til statlige prosesser og krav til utredning, planlegging og kvalitetssikring.",,Finansdepartementet,Offentlig og stat,2020
Ekstern Kvalitetssikring 2 av prosjekt 1081 Future Naval Strike Missile,Offentlig kvalitetssikring,,,,Finansdepartementet,Offentlig og stat,2022
Prosjektledelse til Gjensidigeskolen,Prosjektledelse,,,,Gjensidige,Bank og forsikring,2022
Løsningsarkitekt del 1,Løsningsarkitektur,"Kompetanse på teknologi, funksjonalitet, IKT-plattformsforståelse, tilsvarende senior løsningsarkitekt eller bedre.",Dokumenterbar erfaring fra tilsvarende komplekse oppdrag.,Nødvendig tyngde og standing i markedet.,Departementenes sikkerhets- og serviceorganisasjon (DSS),Offentlig og stat,2021
Samfunnsøkonomisk analyst del 2,Økonomi og analyse,"Dokumentert erfaring i samfunnsøkonomisk analyse, spesielt knyttet til IKT-investeringer.",,,Departementenes sikkerhets- og serviceorganisasjon (DSS),Offentlig og stat,2021
Ekstern kvalitetssikring,Offentlig kvalitetssikring,Ukjent,Ukjent,Ukjent,Departementenes sikkerhets- og serviceorganisasjon (DSS),Offentlig og stat,2021
Oppdragsleder for kvalitetssikring nytt lånesystem,Offentlig kvalitetssikring,"Kompetanse på estimeringsteknikker, usikkerhetsanalyser og prosjektnedbrytningsstrukturer","Erfaring fra tilsvarende kvalitetssikringsoppdrag, domene bank/finans, planlegging og gjennomføring av IT-prosjekter","Gode leveranseevner, Strukturert og nøye, Team- og samarbeidsorientert, Selvgående, Positiv innstilling",Statens pensjonskasse,Offentlig og stat,2022
Ansvarlig for usikkerhetsanalyser,Offentlig kvalitetssikring,Kompetanse på estimeringsteknikker og usikkerhetsanalyser,Erfaring fra domene bank/finans og planlegging og gjennomføring av IT-prosjekter,"Gode leveranseevner, Strukturert og nøye, Team- og samarbeidsorientert, Selvgående, Positiv innstilling",Statens pensjonskasse,Offentlig og stat,2022
Faglig ansvarlig kvalitetssikring,Offentlig kvalitetssikring,"Kompetanse og erfaring med kvalitetssikring, god kjennskap til relevante metoder, standarder og beste praksis for kostnadsberegning",Erfaring fra kvalitetssikringsoppdrag og domene bank/finans,"Gode leveranseevner, Strukturert og nøye, Team- og samarbeidsorientert, Selvgående, Positiv innstilling",Statens pensjonskasse,Offentlig og stat,2022
Prosjektleder,Prosjektledelse,,,,LoFavør,Bank og forsikring,2024
Løsningsarkitekt,Løsningsarkitektur,Arkitektur,Erfaren arkitekt og analytiker,"Profesjonelt, effektivt og med høy faglig standard",Husbanken,Offentlig og stat,2020
Rådgiver og prosjektleder for migrering,Prosjektledelse,,,,Eika Gruppen AS,Bank og forsikring,2021
Planlegging og gjennomføring av datamigrering for Eika-banker,Prosjektledelse,,,,Eika Gruppen AS,Bank og forsikring,2022
Migreringsressurs HR- og Lønnssystem,Løsningsarkitektur,"God og bred teknisk forståelse, særlig relatert til dataflyt og informasjonsarkitektur","Erfaring med å omsette forretningsbehov til teknisk løsningsdesign, tolkning av datainnhold i datasystemer for transformasjon til nytt format, migreringsprosjekter og HR og lønn er ønskelig",,Fremtind Forsikring AS,Bank og forsikring,2023
Migreringsressurs HR- og Lønnssystem,Ingen,,,,Fremtind Forsikring AS,Bank og forsikring,2023
Prosjektleder for digitaliseringsprosjekter,Prosjektledelse,,,,NGI,Handel og industri,2022
Konsulent filmigrering,Rådgivning teknisk,"God kompetanse på IKT- kartlegging og -migrering, samt god kjennskap til virksomheten, IKT-infrastrukturen og løsningene i Helse Sør-Øst, Sykehuspartner og Sykehuset Telemark","Erfaring med prosjekter knyttet til integrering av medisinsk teknisk utstyr, migreringsprosjekter, IKT-transformasjon, og arbeid on-site hos helseforetak i Helse Sør-Øst","Resultatorientert, erfaren, evne til å lede tekniske team, strategisk tilnærming, god teknisk forståelse",Sykehuset i Telemark HF,Helse,2024
Tjenestedesigner for MinØk prosjektet,Rådgivning teknisk,"Designkompetanse, utdanning i og/eller betydelig erfaring fra arbeid som tjenestedesigner.","Tjenestedesignprosjekter, erfaring med designmetodikk.","Evne til å lede innovasjonsprosesser, god forståelse for offentlig sektor.",Digitaliseringsdirektoratet,Offentlig sektor,2021
Prosjektleder MinØk,Prosjektledelse,Erfaring med ledelse av tverrfaglige prosjekter; kompetanse i offentlig sektor.,Over 10 års erfaring fra ledelse av større prosjekter innen offentlig sektor.,"Gode kommunikasjonsevner, strukturert og strategisk.",Digitaliseringsdirektoratet,Offentlig sektor,2021
Løsningsarkitekt for MinØk,Løsningsarkitektur,Kompetanse med digitalisering og samordning av IKT-løsninger i offentlig sektor.,Inngående kjennskap til kommunale fagsystemer og integrasjoner.,"Innovativ, problemløser med øye for detaljer.",Digitaliseringsdirektoratet,Offentlig sektor,2021
Endringsleder innen kommunal sektor,Endringsledelse,Erfaring med organisasjonsutvikling og endringsarbeid i kommunal sektor.,Minst 8 års erfaring fra ledelse av innovasjons- og digitaliseringsprosesser.,"Kommunikativ, strategisk tenking, resultatorientert.",Digitaliseringsdirektoratet,Offentlig sektor,2021
Prosjektleder for fusjon mellom Blaker og Romerike sparebank,Prosjektledelse,,,,Eika Gruppen,Bank og forsikring,2022
Senior Program Manager for migration of Consumer Loans in Sweden,Programledelse,,"Program Managers and highly experienced project managers, architects and management consultants with more than 20 years of relevant experience",,Santander,Bank og forsikring,2020
Senior Program Manager for AML project,Programledelse,,"Program Managers and highly experienced project managers, architects and management consultants with more than 20 years of relevant experience",,Santander,Bank og forsikring,2020
"Category Manager, Products",Rådgivning teknisk,Up to date knowledge of the technology supplier landscape within the category; perform qualification of potential suppliers; lead RFI/RFQ/RFP processes and supplier negotiations; ensure contract drafting/signature; contract management as well as contract renewal and termination; category management strategy work for the 'Products' category.,,,Wilhelmsen Ships Services AS,Handel og industri,2023
"Procurement Manager, Technology",Rådgivning forretning,"Oppdatert kunnskap om teknologileverandørlandskapet, gjennomføring av RFI/RFQ/RFP prosesser, leverandørforhandlinger, kontraktsutforming og signering.",,"Strukturert, konsekvent, transparent og effektiv i innkjøpsprosesser.",Wilhelmsen Ships Services AS,Handel og industri,2024
Product Manager in IT for Origination Portfolio Management Platform,Produkt- og tjenesteansvar,"Strategic view of IT, business solution architecture, strong analytic capability, hands-on follow-up, requirements analysis & management, stakeholder management & communications, agile development.","Experience as product manager, project leadership, communication skills, experience with package system implementations, data & analytics, CRM experience, business analysis, project management including change management.","Strategic, analytic, excellent project leadership, communication skills.",Statkraft,Offentlig og stat,ukjent
Program Manager for IT Transformation (ONE_IT),Programledelse,"Program Managers and highly experienced project managers, architects and management consultants with more than 20 years of relevant experience",More than 20 years of relevant experience,Ingen,Santander,Bank og forsikring,2022
Program Manager for IT Transformation (ONE_IT),Programledelse,"Program Managers and highly experienced project managers, architects and management consultants with more than 20 years of relevant experience",More than 20 years of relevant experience,Ingen,Santander,Bank og forsikring,2021
Program Management One IT,Programledelse,"Program Managers and highly experienced project managers, architects and management consultants with more than 20 years of relevant experience",More than 20 years of relevant experience,Ingen,Santander,Bank og forsikring,2020
Technical project management,Prosjektledelse,"Program Managers and highly experienced project managers, architects and management consultants with more than 20 years of relevant experience",More than 20 years of relevant experience,Ingen,Santander,Bank og forsikring,2023
Programleder Nye Altinn,Programledelse,"Svært erfaren programleder med minimum 6 års dokumentert erfaring. Erfaring med komplekse IT-utviklingsprosjekter i tråd med statens kvalitetssikringsregime for KS2 prosjekter. Erfaring med tverrfaglige team, smidige DevOps-team, samt erfaring fra offentlig sektor og samhandling med departementer.","Dokumentert erfaring som programleder underlagt statens kvalitetssikringsregime for KS2 prosjekter, samt erfaring i å jobbe opp mot ulike departementer og i offentlig sektor. Erfaring med rapportering til styringsgruppe og departement samt å utføre ledelse av prosjekter som krever samhandling på tvers av offentlige etater.","Fremoverlent og tar faglig initiativ, fremragende evne til samhandling, samt gode kommunikasjonsferdigheter både skriftlig og muntlig.",Digitaliseringsdirektoratet,Offentlig og stat,2023
